"probs","labels"
"0.1940808","0"
"0.05932998","0"
"0.09804541","0"
"0.14116335","0"
"0.46260664","0"
"0.355239","0"
"0.056126244","0"
"0.038147647","0"
"0.009277835","0"
"0.087641895","0"
"0.03718919","0"
"0.07781531","0"
"0.7964425","0"
"0.017619107","0"
"0.13833529","0"
"0.1257362","0"
"0.009131244","0"
"0.083518505","0"
"0.07851914","0"
"0.9994721","1"
"0.13887343","0"
"0.079466045","0"
"0.055491317","0"
"0.028918907","0"
"0.06359452","0"
"0.07499533","0"
"0.059543714","0"
"0.04304853","0"
"0.052041456","0"
"0.4547369","0"
"0.1059299","0"
"0.03221356","0"
"0.14589462","0"
"0.034001037","0"
"0.053613514","0"
"0.37248123","0"
"0.05994682","0"
"0.17410758","0"
"0.06557308","0"
"0.011764431","0"
"0.041171934","0"
"0.18959002","0"
"0.086337425","0"
"0.025544321","0"
"0.025665972","0"
"0.017228853","0"
"0.11514781","0"
"0.22615775","0"
"0.028859084","0"
"0.18708609","0"
"0.023360912","0"
"0.058216453","0"
"0.04346443","0"
"0.082782835","0"
"0.10733011","0"
"0.06662497","0"
"0.05450845","0"
"0.4964095","0"
"0.03545177","0"
"0.053842284","0"
"0.4695515","0"
"0.07700154","0"
"0.029112244","0"
"0.027040433","0"
"0.053989533","0"
"0.023910055","0"
"0.12882215","0"
"0.07322018","0"
"0.086039394","0"
"0.35058466","0"
"0.015608648","0"
"0.20747651","0"
"0.05182845","0"
"0.0028735239","0"
"0.029017862","0"
"0.03359131","0"
"0.16098864","0"
"0.02049805","0"
"0.01037661","0"
"0.088792875","0"
"0.9629332","0"
"0.09531378","0"
"0.372865","0"
"0.18346478","0"
"0.14854266","0"
"0.21182185","0"
"0.54898345","0"
"0.15238585","0"
"0.049345776","0"
"0.3802407","0"
"0.15353256","0"
"0.08217668","0"
"0.28001502","0"
"0.03194816","0"
"0.38269645","0"
"0.05549373","0"
"0.046560854","0"
"0.16949894","0"
"0.055112302","0"
"0.086225875","0"
"0.1551691","0"
"0.0761525","0"
"0.024976378","0"
"0.27068847","0"
"0.11303341","0"
"0.18035671","0"
"0.01878705","0"
"0.016505923","0"
"0.006708364","0"
"0.9477227","0"
"0.056781795","0"
"0.11631451","0"
"0.025231985","0"
"0.06641062","0"
"0.004473431","0"
"0.107015535","0"
"0.05531951","0"
"0.7637972","0"
"0.11073887","0"
"0.29500943","0"
"0.005793739","0"
"0.023307508","0"
"0.8338063","0"
"0.3169711","0"
"0.009626676","0"
"0.014613446","0"
"0.024171172","0"
"0.04283142","0"
"0.0189527","0"
"0.078385204","0"
"0.13702106","0"
"0.20930968","0"
"0.7590019","0"
"0.021822916","0"
"0.08452173","0"
"0.09623132","0"
"0.9050551","0"
"0.022797082","0"
"0.17524442","0"
"0.20971483","0"
"0.14128569","0"
"0.14741375","0"
"0.016226284","0"
"0.5440278","0"
"0.032560434","0"
"0.19872294","0"
"0.12826513","0"
"0.19032176","0"
"0.8399102","0"
"0.09879085","0"
"0.013900105","0"
"0.23344542","0"
"0.010878987","0"
"0.82954174","0"
"0.9047363","0"
"0.030610517","0"
"0.017113319","0"
"0.03504093","0"
"0.42239016","0"
"0.72077","0"
"0.9356631","0"
"0.0033133153","0"
"0.2154501","0"
"0.6210583","0"
"0.8571924","0"
"0.12329942","0"
"0.348402","0"
"0.03522278","0"
"0.50328594","0"
"0.043132856","0"
"0.4021681","1"
